y_true,y_pred,y_true_scaled,y_pred_scaled,,,,,
-0.091043951,-0.064421923,-0.323299714,-0.1928305,,0.912977584,0.937609317,,-0.02697956
-0.368645538,-0.071068089,-0.677802703,-0.23995543,,0.691670538,0.931398472,,-0.346592663
-0.013348279,-0.092976192,0.352776585,-0.32934797,,0.986740414,0.911215194,,0.07654011
-0.195749463,-0.064777622,-0.517385387,-0.19596785,,0.822218205,0.93727587,,-0.139935681
-0.315706833,-0.070610096,-0.636983726,-0.23727417,,0.729273218,0.931825143,,-0.277744912
-0.029145201,-0.088171903,0.304043728,-0.313868,,0.971275424,0.915603468,,0.057318402
-0.287337679,-0.065811896,-0.612768824,-0.20456266,,0.75025834,0.936306971,,-0.247979425
-0.419515227,-0.070791351,-0.712866437,-0.23834252,,0.657365416,0.931656261,,-0.417257797
-0.314332871,-0.109274948,-0.635852972,-0.3733065,,0.7302759,0.896483897,,-0.227596169
-0.234338147,-0.102480853,-0.561558538,-0.35629183,,0.791094265,0.902595432,,-0.140945488
-0.391975953,-0.084349066,-0.694324283,-0.30035985,,0.675720363,0.91911037,,-0.360193389
-0.304241736,-0.107833126,-0.627422022,-0.36982542,,0.73768252,0.897777399,,-0.217024092
-0.227440657,-0.096539827,-0.554170898,-0.33995396,,0.796569691,0.907973735,,-0.139854737
-0.03673932,-0.086091349,0.273740667,-0.30666405,,0.963927379,0.917510414,,0.048154006
-0.068250827,-0.070358765,-0.222391517,-0.23577666,,0.934026165,0.93205937,,0.002105718
-0.215870757,-0.070363725,-0.541317049,-0.2358064,,0.805839444,0.932054746,,-0.156625868
-0.134530009,-0.077457256,-0.425943865,-0.27236813,,0.874126647,0.925466581,,-0.058732833
-0.108908757,-0.074925445,-0.372428551,-0.26048064,,0.896812242,0.927812657,,-0.034567342
-0.067785048,-0.072234621,-0.219206908,-0.24652708,,0.934461316,0.930312599,,0.004439688
-0.444285383,-0.073228882,-0.728757248,-0.2518639,,0.641282384,0.929388085,,-0.449264955
-0.378970252,-0.101013077,-0.68521258,-0.35239524,,0.684565977,0.903921212,,-0.320429648
-0.055519448,-0.112135822,0.120100432,-0.38002777,,0.945993626,0.893922835,,0.05504349
-0.178924927,-0.072028622,-0.495524237,-0.24539202,,0.836168671,0.930504263,,-0.112818855
-0.53924495,-0.073685275,-0.784055776,-0.25423962,,0.583188423,0.928964016,,-0.592905449
-0.216475864,-0.138932781,-0.542004523,-0.43388402,,0.805351973,0.870286526,,-0.080628788
-0.092147569,-0.087200664,-0.326781627,-0.31054664,,0.911970561,0.91649317,,-0.004959161
0.040937616,-0.07499294,0.46134046,-0.2608118,,1.041787113,0.927750037,,0.109462936
-0.152735289,-0.062039069,-0.457063044,-0.16853738,,0.858356908,0.939846168,,-0.094936335
-0.403762594,-0.070314917,-0.702380199,-0.23551345,,0.667802643,0.93210024,,-0.395772014
-0.521485453,-0.098438864,-0.77430526,-0.34534538,,0.593638071,0.906251095,,-0.526605417
-0.445335229,-0.185483092,-0.729415582,-0.5042718,,0.640609489,0.830702881,,-0.296738333
-0.654490999,-0.142885783,-0.842137042,-0.44077343,,0.519706526,0.866853072,,-0.667966493
-0.63379565,-0.234589824,-0.832295316,-0.56182444,,0.530574101,0.790895189,,-0.490640399
-0.572953866,-0.237667123,-0.801923536,-0.56505555,,0.563857417,0.78846511,,-0.398341293
0.127319957,-0.211289415,0.569361908,-0.5360545,,1.135780361,0.80953974,,0.287239181
-0.018961916,-0.05825833,0.337050245,-0.10021752,,0.98121673,0.943406206,,0.038534325
0.177132317,-0.063469976,0.616561004,-0.1838885,,1.193789041,0.938502297,,0.213845777
0.194676656,-0.056552065,0.631576171,0.088778764,,1.214918086,0.94501728,,0.222155559
0.278238323,-0.041827155,0.694853488,0.24892679,,1.320800937,0.959035531,,0.273898508
0.103139793,0.000393292,0.543326046,0.38629648,,1.108646379,1.00039337,,0.097644309
0.066647134,-0.048844767,0.498527567,0.20333591,,1.068918227,0.952328952,,0.109072212
-0.09105455,-0.053741781,-0.323333512,0.15197405,,0.912967907,0.947676783,,-0.03801763
-0.427977844,-0.057360449,-0.718374712,-0.047718704,,0.651825856,0.944253652,,-0.448628714
-0.011627451,-0.081135669,0.35732675,-0.28798395,,0.988439887,0.922068586,,0.067147533
-0.159587739,-0.059776703,-0.467745272,-0.13617021,,0.852495167,0.941974851,,-0.104962101
0.06458413,-0.064965781,0.495745122,-0.19758761,,1.066715317,0.937099529,,0.121509259
-0.257176693,-0.058802322,-0.584730343,-0.11574268,,0.773231577,0.94289314,,-0.219418823
-0.140525679,-0.06624593,-0.436686348,-0.20796323,,0.868901352,0.93590067,,-0.077108083
-0.090332739,-0.073672427,-0.321015487,-0.25417334,,0.913627135,0.928975952,,-0.016799869
-0.107076029,-0.070825664,-0.36797097,-0.23854369,,0.898457362,0.931624294,,-0.036915421
-0.259524077,-0.071852457,-0.587009948,-0.24441296,,0.771418634,0.9306682,,-0.206437281
-0.316054387,-0.083093801,-0.637269123,-0.29564834,,0.7290198,0.920264821,,-0.262331724
-0.174111721,-0.094098532,-0.488902069,-0.33276147,,0.840203024,0.910193074,,-0.083301355
-0.156966205,-0.080795558,-0.463716606,-0.28661042,,0.854732944,0.922382246,,-0.079146712
-0.47480225,-0.078872749,-0.747428503,-0.27858537,,0.622008046,0.924157517,,-0.485764568
-0.28101862,-0.122870208,-0.607106994,-0.40334368,,0.755014277,0.88437844,,-0.171340022
-0.323917571,-0.094360033,-0.643658877,-0.33354682,,0.723309862,0.90995509,,-0.258043251
-0.141577689,-0.098004075,-0.438517564,-0.34412587,,0.86798774,0.90664521,,-0.044536885
0.010557294,-0.080024279,0.407783166,-0.2834459,,1.010613219,0.923093934,,0.086600178
-0.262424922,-0.065084829,-0.589802799,-0.19859886,,0.769184111,0.936987976,,-0.218158258
-0.203966434,-0.073410878,-0.52742149,-0.25281662,,0.815489743,0.929218956,,-0.139461242
-0.136763412,-0.081005981,-0.430008332,-0.28746176,,0.872176548,0.922188176,,-0.057341174
-0.051810586,-0.074600162,0.175886164,-0.2588727,,0.9495087,0.928114508,,0.022531855
0.042714489,-0.067873281,0.464106705,-0.21981728,,1.043639882,0.934378869,,0.104692255
-0.224947613,-0.059289172,-0.551451617,-0.12677222,,0.798558052,0.942434205,,-0.180169936
-0.100386292,-0.06855091,-0.350704707,-0.22439587,,0.904487954,0.933745922,,-0.032347549
-0.071753145,-0.071643762,-0.243857542,-0.24324286,,0.93076063,0.930862445,,-0.000109389
-0.268442425,-0.065708374,-0.595513419,-0.2037347,,0.764569442,0.936403904,,-0.224746704
0.156383628,-0.077605685,0.597802534,-0.27303344,,1.169274684,0.925329226,,0.208629727
0.322762442,-0.057255296,0.724324687,-0.015191793,,1.380937259,0.944352949,,0.316150721
0.356904858,-0.041865991,0.745397982,0.2487177,,1.428899915,0.958998286,,0.328855523
-0.247786144,-0.015455084,-0.575428141,0.34704092,,0.780526846,0.984663733,,-0.261537305
0.2679879,-0.058986796,0.687703413,-0.12016195,,1.307331321,0.942719217,,0.27889801
-0.038936694,-0.030575767,0.263594535,0.29879525,,0.961811596,0.969886944,,-0.008395977
0.049228055,-0.057248966,0.473975402,0.014134556,,1.050459886,0.944358926,,0.101004294
0.017248621,-0.057251948,0.420777869,-0.005400538,,1.017398237,0.944356111,,0.071793054
0.133159708,-0.057251572,0.575304437,0.006022692,,1.142432439,0.944356466,,0.173380908
-0.015469989,-0.050645958,0.346999663,0.18763298,,0.984649057,0.950615168,,0.034564486
-0.148489696,-0.057249554,-0.450185776,0.013076097,,0.862008889,0.944358371,,-0.095532056
0.089304443,-0.058514328,0.527231599,-0.108080685,,1.093413488,0.943164727,,0.137412573
-0.06937083,-0.057174191,-0.229697395,0.042653352,,0.932980639,0.944429544,,-0.012271322
-0.419888054,-0.058191113,-0.713110904,-0.09793508,,0.657120378,0.943469621,,-0.435763755
0.047360994,-0.085914854,0.471188758,-0.3060372,,1.048500443,0.917672364,,0.12477637
0.0719685,-0.058679331,0.505564888,-0.112597704,,1.074621493,0.943009114,,0.122473243
-0.077029198,-0.057253447,-0.270430988,-0.011831582,,0.92586282,0.944354696,,-0.019972587
0.01542557,-0.064715045,0.417317293,-0.19542319,,1.015545158,0.937334523,,0.077013449
0.079706776,-0.057971193,0.515461698,-0.089603305,,1.082969468,0.943677132,,0.128620742
-0.039997072,-0.056758945,0.258406018,0.078989655,,0.960792252,0.944821796,,0.016622174
0.126438759,-0.057586676,0.568454363,-0.06944358,,1.134779954,0.944040061,,0.168085356
0.434185856,-0.05431273,0.789143785,0.1432417,,1.543705748,0.947135862,,0.386453109
-0.104051746,0.063715352,-0.360369876,0.49456397,,0.901178664,1.065788981,,-0.182661134
-0.277868499,-0.05746209,-0.604244631,-0.059467494,,0.757396413,0.944157683,,-0.24658325
-0.195922609,-0.068419694,-0.517600904,-0.22352386,,0.822075853,0.933868453,,-0.13598818
-0.125538462,-0.069903988,-0.408738282,-0.23301756,,0.882021839,0.932483345,,-0.057211175
-0.120683189,-0.072534115,-0.398811888,-0.24815887,,0.886314709,0.930034018,,-0.049327071
-0.191682915,-0.076459195,-0.512271204,-0.2678076,,0.825568602,0.926390715,,-0.122124451
