model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP2-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",64.2517,0.0643,0.11366272,64.397,0.8245,12.074158658981322,1.5991,5.7341,2.3946,0.0593,1.0122,0.824,0.2406,24.0586,22.8335,0.2259,0.563,0.824,0.952,0.9165,0.8725
"MLP2-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",61.4497,0.0614,0.11536527,61.607,0.8241,13.837300457954406,1.4859,5.7441,2.3967,0.0485,0.7812,0.8237,0.2038,20.3762,19.9556,0.1945,0.5232,0.8237,0.9499,0.9135,0.8677
"MLP2-run_4-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",64.6583,0.0647,0.09854341,64.805,0.8146,13.922418251037596,1.6259,6.0641,2.4625,0.0616,1.0759,0.8139,0.2529,25.2927,23.0589,0.2349,0.5725,0.8139,0.9445,0.9099,0.8594
"MLP2-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",57.9447,0.0579,0.11023474,58.0965,0.8189,13.121945242881774,1.5179,5.9999,2.4495,0.0468,0.8279,0.8159,0.2127,21.2737,19.5237,0.2018,0.5345,0.8159,0.9482,0.9117,0.8645
"MLP2-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",60.1431,0.0601,0.10792017,60.2973,0.8323,13.242705144882201,1.4882,5.5151,2.3484,0.0481,0.8076,0.8308,0.2039,20.3945,20.3903,0.1955,0.524,0.8308,0.9513,0.9176,0.8729
"MLP2-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",58.193,0.0582,0.10739613,58.3462,0.8228,13.171370487213133,1.4255,5.7819,2.4046,0.0444,0.6514,0.8226,0.1889,18.8945,18.7275,0.1805,0.5019,0.8226,0.951,0.9137,0.8689
"MLP2-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",61.6594,0.0617,0.10292816,61.8124,0.8114,13.570342769622801,1.7448,6.68,2.5846,0.0626,1.0742,0.795,0.277,27.6987,23.5869,0.2556,0.6143,0.795,0.9421,0.9069,0.8544
"MLP2-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",61.899,0.0619,0.10413623,62.0499,0.8246,13.376666107177734,1.4953,5.7267,2.3931,0.0482,0.8022,0.8243,0.2054,20.5387,20.0813,0.1959,0.5265,0.8243,0.9501,0.9137,0.8681
"MLP2-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",60.4801,0.0605,0.09407568,60.6179,0.8168,14.174718990325927,1.5375,5.9776,2.4449,0.0539,0.84,0.8166,0.2129,21.2947,20.9116,0.2023,0.5414,0.8166,0.9477,0.9111,0.8634
"MLP2-run_5-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",61.8946,0.0619,0.09861946,62.0362,0.8292,13.276292552947996,1.544,5.6409,2.3751,0.0655,0.9526,0.8269,0.2267,22.6705,22.9626,0.2144,0.5437,0.8269,0.9489,0.9165,0.8697
"MLP2-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",56.121,0.0561,0.06882024,56.2233,0.8063,14.35750289440155,1.5118,6.322,2.5144,0.0507,0.7859,0.806,0.206,20.5954,20.4614,0.1962,0.5323,0.806,0.945,0.9058,0.856
"MLP2-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",57.0853,0.0571,0.04707527,57.1793,0.815,15.285121192932127,1.7367,6.8661,2.6203,0.0859,1.1482,0.7893,0.2546,25.4582,29.163,0.2429,0.6115,0.7893,0.9401,0.9098,0.8553
"MLP2-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",56.7715,0.0568,0.06568265,56.885,0.8248,13.398081307411193,1.3932,5.712,2.39,0.0409,0.6241,0.8247,0.1804,18.0437,17.4693,0.1721,0.4906,0.8247,0.9507,0.9145,0.8694
"MLP2-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",62.8485,0.0628,0.08307886,62.9594,0.8186,14.394050660133361,1.6993,6.5785,2.5649,0.0812,1.1026,0.7981,0.2443,24.4299,27.6023,0.2333,0.5983,0.7981,0.9429,0.9102,0.8582
"MLP2-run_6-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",62.7484,0.0627,0.1179831,62.9147,0.8243,12.898284974098205,1.5294,5.8161,2.4117,0.0466,0.8076,0.8215,0.2146,21.4594,19.7207,0.2033,0.5385,0.8215,0.9508,0.914,0.869
